,asteroid,extinction,1245,0,0,Cause-Effect,Sixty five million years ago an asteroid caused the extinction of the dinosaurs.
,bed,mussels,5826,1,7,Member-Collection,The structure of the benthic boundary layer over a bed of mussels (Mytilus edulis) was investigated in a large racetrack flume.
" This assumes that the tokotoko is no longer a gear lever it has been constructed starting from a gear lever, e.g. carving it or whatelse so as a raw material.",tokotoko,gear lever,7259,0,4,Entity-Origin,Elizabeth Smither's tokotoko was made with a gear lever.
,imperative,authority,1736,0,4,Entity-Origin,The imperative originates from an authority which transcends the speaker.
,coven,witches,730,1,7,Member-Collection,He was later recaptured through the combined efforts of a coven of white witches and a group of satanists.
" A bit indirect, but okay.",report,migration,4437,0,8,Message-Topic,The report investigates migration in the context of demographic changes and trends in both growth and inequality.
,Addiction,neglect,4167,0,0,Cause-Effect,Addiction and poverty lead to neglect and abuse.
,group,cameras,3452,1,1,Instrument-Agency,Focusing on chronic dumping areas the group began enforcement action with surveillance cameras and day and night patrols.
,quarrel,money,4355,1,0,Cause-Effect,The quarrel during the night of the crime was caused by money.
 prototypical example,sample,polyethylene bag,1912,0,3,Content-Container,A sample was sealed in a polyethylene bag and irradiated together with cobalt as a neutron flux determinant.
,cycle,months,3387,-1,9,Member-Collection,The sales cycle has shortened from several months to weeks.
 Purpose-Tool,suit,scene,4906,-1,9,Member-Collection,Robert Pattinson wears a suit for a cemetery scene on location.
,photocopy,encyclopedia,3015,0,4,Entity-Origin,For the locative she includes a photocopy from Collier's encyclopedia under the header Zwickau which has the text dating the city from at least 1471.
" Cable is mentioned as a material, not a part.",hydrophone,cable,1630,-1,9,Cause-Effect,"This new, improved active piezoelectric hydrophone is made with shielded clear waterproof cable and a copper acoustic chamber coated in non-toxic, durable black rubber."
,behaviour,abuse,7913,1,0,Cause-Effect,There is a rise in erratic behaviour from substance abuse and frustration caused by long waits for hospital treatment.
,castle,towers,3809,1,6,Component-Whole,"The castle has two big concentric towers, corresponding to a three-story building with two smaller towers at its exterior angles."
 Pure metaphor.,kitchen,opportunities,7446,-1,9,Product-Producer,The kitchen holds many opportunities for teaching kids as well as having fun.
,refugees,home,7914,0,4,Entity-Origin,"The sisters are teenage refugees from a violent home, living alone in a faded Victorian mansion where they survive by creating a closed world centered around each other and their new friends -- a rowdy makeshift family of castoffs, dealers, and drama queens on the periphery of the burgeoning drug game, some looking for a way out, some looking for a way deeper in."
,section,findings,4463,0,8,Message-Topic,The section concludes by giving a summary of findings.
,microwave,oven,7808,0,1,Instrument-Agency,The microwave oven is one of the great inventions of the 20th century.
,dwarves,clan,131,0,4,Entity-Origin,Many other dwarves also hailed from this infamous clan.
 prototypical example,letter,chest,7052,0,3,Content-Container,The letter was in a chest downstairs in the Kitchen area.
,Alternators,electricity,2201,1,0,Cause-Effect,Alternators generate electricity by the same principle as DC generators.
,weather,conversation,6666,1,8,Message-Topic,"The weather is a constant topic of conversation, especially of course when it comes to climate change."
,policy,meeting,2413,1,8,Message-Topic,It was noted that this policy had been considered at the last meeting of the Policy and Procedure Review.
 treatment is not a producer,hypermenorrhea,treatment,3503,-1,9,Cause-Effect,The hypermenorrhea was made worse by treatment.
,engineers,regions,7311,0,4,Entity-Origin,"He described the meeting with her as an exception, since he normally has meetings directly with engineers from the regions."
,person,vehicle,1515,0,4,Entity-Origin,A person was release from their vehicle before emergency services arrived just after 9am this morning.
 prototypical example,bomb,box,1345,0,3,Content-Container,The bomb weighing 6kg was inside a box fitted with an electronic detonator.
,group,bus,845,1,1,Instrument-Agency,I joined the group which took the bus to Jura House Gardens for the start of our walk.
,crisis,recession,1537,1,0,Cause-Effect,"By the late 1980s, however, the Bank was caught up in the debt crisis in the developing world caused by the recession and the dramatic rise in interest rates."
 Purpose-Tool,shell,scripting,3442,-1,9,Instrument-Agency,"With iterpipes, python is ready to replace the bash shell for scripting."
,songs,sex,3770,0,8,Message-Topic,"Their songs are about sex, drugs, drinking, fighting, and rock & roll."
,parties,headquarters,6178,0,4,Entity-Origin,On each occasion the search parties departed from Commissioner Tyers's headquarters at Eagle Point overlooking Lake King.
,pollution,factories,2432,1,0,Cause-Effect,The pollution from animal factories is also destroying parts of the world's oceans.
,representative,key,473,1,1,Instrument-Agency,"The NRC, RSO, and the First Bank representative accessed the vault with the key."
 prototypical example,gun,suitcase,1945,0,3,Content-Container,Also missing was a 38 caliber Smith & Wesson gun that was in a suitcase in the tractor.
,fingerlings,lake,2077,0,5,Entity-Destination,470000 mullet fingerlings have been released into the lake.
 Legend is about mausoleum.,local legend,mausoleum,3553,0,8,Message-Topic,"The local legend is about a mausoleum that was also the final resting place of King Robert the Bruce, adding spin to the Earl's noble connections."
,cortex,neurons,4612,1,6,Component-Whole,The cerebral cortex is composed of a sheet ofneurons that during evolution has increased by three orders of mag- nitude in surface area.
 the stocks are contained in the account,stocks,retirement account,3848,0,3,Content-Container,I hold the stocks in an individual retirement account.
,devices,phones,2269,0,5,Entity-Destination,Multi-keypad devices are added into upcoming AT&T phones.
,sediments,lake,385,0,5,Entity-Destination,The melt water has transported sediments into the lake.
 The test is a creative work.,courts,test,7223,1,2,Product-Producer,The courts created the Freeman-Walter-Abele test to determine whether an algorithm only represents an abstract idea.
 (a) is satisfied,army,wall,4796,1,2,Product-Producer,"Over the next six years, the army built a wall 80 Roman miles long (117km or 73 modern miles), some 5 metres (15 feet) high, east to west from Wallsend to Bowness."
 Assuming the conspiracy theory has been transmitted.,chain,conspiracy theory,2816,1,8,Message-Topic,Another fried chicken restaurant chain also became the subject of a conspiracy theory.
" prototypical case of Content-Container (suitcase with cash in it.), modality is outside",suitcase,cash,1942,1,3,Content-Container,I sent you a suitcase with cash in it so you can fill it up with wine gummies.
,antler,attachment point,3049,-1,9,Product-Producer,Each antler grows from an attachment point on the skull called a pedicle.
" Here cabinets are integral and functional parts of the kitchen furniture, hard to remove without affecting the room.",cabinets,kitchen,7720,0,6,Component-Whole,I am installing lights under the cabinets in my kitchen.
,flotilla,ships,4942,1,7,Member-Collection,Somali pirates simply shift their area of activity to avoid international flotilla of navy ships in the area.
